soft,,0.2*RIGID,,0.4*RIGID,,0.6*RIGID,,0.8*RIGID,,1*RIGID,
39.7272,16.5516,46.6089,29.9938,40.3056,50.8779,47.4205,68.2168,39.9726,85.8658,40.4613,98.453
38.6765,16.8119,44.6145,29.3751,39.6783,55.0892,44.2533,70.1436,38.5012,85.8208,40.1625,98.5239
40.6136,16.5546,45.7995,29.341,42.8525,50.1756,45.7305,70.1807,40.3832,79.9884,41.2224,98.6285
41.7304,16.6838,45.8025,29.3526,39.8347,50.1678,45.6112,70.1028,41.3554,81.3063,42.1147,98.0143
39.8962,16.5749,46.6465,29.4355,39.5545,51.6784,45.3803,68.299,39.4889,82.1126,43.9843,95.9273
,,47.7858,29.3472,42.2912,51.745,46.634,70.3085,38.9123,86.0122,40.7895,98.8574
,,47.5619,29.3534,42.9066,50.81,47.3639,70.3349,38.4279,83.6615,43.9559,98.4564
,,48.2115,29.348,42.556,55.2653,44.4573,70.3076,39.0053,86.1923,41.4268,98.0855
,,48.394,29.3475,40.3963,51.8512,47.491,70.2545,40.013,86.1878,42.147,99.4711
,,49.5458,29.3446,42.1681,51.7856,47.1216,68.232,42.6119,86.0251,44.4296,98.1637
,,47.845,29.3366,43.3916,51.8111,47.4006,68.1796,39.7228,86.2565,44.3885,99.5663
,,46.5713,29.3372,41.9538,50.2569,48.6016,70.366,39.5785,81.7738,45.3767,96.6043
,,48.7115,29.3095,44.158,50.7732,50.0187,71.1644,41.1671,86.1934,42.4891,99.6063
,,49.7049,29.308,44.1316,50.7804,47.7696,67.6224,42.574,86.2208,44.2486,99.9213
,,50.7439,30.0997,42.6444,51.815,49.4762,70.3545,44.0418,86.2585,47.0986,93.1796
,,50.2789,29.303,42.1804,52.0055,47.9281,70.4121,42.1724,86.1216,45.14,95.3788
,,51.3832,29.4117,44.6236,50.0278,47.663,70.4332,41.3,86.3714,45.2681,99.9335
,,49.2943,29.3086,41.908,51.7789,47.9257,70.4164,41.8766,86.3639,45.1515,97.6868
,,49.6983,29.2978,44.3891,51.7779,48.0341,70.148,43.8856,86.298,46.1091,96.0629
,,49.7277,29.3089,45.2665,50.0371,49.3894,68.1069,44.779,86.2312,44.1881,99.8189
,,52.3671,28.6193,45.1647,51.8453,50.3797,70.4167,42.5654,86.3006,47.8044,94.2103
,,49.7944,29.2865,45.9086,50.6704,51.0518,70.4436,43.6929,86.3036,46.7091,94.4848
,,50.6593,29.2683,45.5519,50.7566,50.9789,70.4364,47.2432,81.5347,49.1914,98.0312
,,49.8557,28.8988,45.1761,54.9815,49.2559,70.8848,45.0611,85.4405,45.3379,99.969
,,50.973,29.3407,42.9403,49.4259,48.4517,70.4295,43.6931,86.1812,49.3498,96.7227
,,51.1314,29.2416,47.0627,49.964,52.0395,67.7825,42.7382,86.0406,48.5349,99.5772
,,52.4561,28.3037,45.4591,51.8145,51.1292,70.5017,,,47.1102,96.2726
,,51.9733,29.164,46.3181,50.6114,51.3507,70.4643,,,46.8414,97.0208
,,55.1794,29.1814,45.2788,51.765,53.0332,70.6127,,,47.0032,100.42
,,52.1424,29.1826,46.164,50.752,52.4895,70.3602,,,48.5254,99.1411
,,54.7242,29.1827,45.4559,51.7662,50.6649,70.879,,,49.3824,99.5807
,,54.7079,29.1379,49.3112,49.2528,51.0583,70.3944,,,46.5359,98.4814
